2025-06-16 01:42:36,603 - INFO - Software: PID: 5964, Name: chrome.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,610 - INFO - Software: PID: 6340, Name: conhost.exe, Username: None
2025-06-16 01:42:36,621 - INFO - Software: PID: 6448, Name: svchost.exe, Username: None
2025-06-16 01:42:36,646 - INFO - Software: PID: 6772, Name: svchost.exe, Username: None
2025-06-16 01:42:36,647 - INFO - Software: PID: 6832, Name: python.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,656 - INFO - Software: PID: 6856, Name: unsecapp.exe, Username: None
2025-06-16 01:42:36,664 - INFO - Software: PID: 6940, Name: WmiPrvSE.exe, Username: None
2025-06-16 01:42:36,671 - INFO - Software: PID: 6956, Name: svchost.exe, Username: None
2025-06-16 01:42:36,671 - INFO - Software: PID: 7040, Name: TranslucentTB.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,671 - INFO - Software: PID: 7172, Name: asus_framework.exe, Username: None
2025-06-16 01:42:36,679 - INFO - Software: PID: 7276, Name: svchost.exe, Username: None
2025-06-16 01:42:36,682 - INFO - Software: PID: 7332, Name: RevoUninHelper.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,682 - INFO - Software: PID: 7388, Name: AMDRSSrcExt.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,689 - INFO - Software: PID: 7588, Name: svchost.exe, Username: None
2025-06-16 01:42:36,697 - INFO - Software: PID: 8444, Name: svchost.exe, Username: None
2025-06-16 01:42:36,704 - INFO - Software: PID: 8600, Name: AggregatorHost.exe, Username: None
2025-06-16 01:42:36,711 - INFO - Software: PID: 8704, Name: svchost.exe, Username: None
2025-06-16 01:42:36,712 - INFO - Software: PID: 8748, Name: Widgets.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,717 - INFO - Software: PID: 8788, Name: svchost.exe, Username: None
2025-06-16 01:42:36,725 - INFO - Software: PID: 8964, Name: svchost.exe, Username: None
2025-06-16 01:42:36,725 - INFO - Software: PID: 8976, Name: msedgewebview2.exe, Username: DESKTOP-DOLHM1N\ft
2025-06-16 01:42:36,725 - INFO - Software: PID: 8984, Name: SecurityHealthSystray.exe, Username: DESKTOP-DOLHM1N\ft
